PhysicalDataID,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,FieldComments,Field1
1787,1891.6,0.05,1418.5,0.11,948.3,0.32,484.7,1.58,19.26,,
1789,245.6,0.02,181.8,0.06,128.8,0.25,61.8,2.48,3.85,,
1790,1566.2,0.05,1157,0.17,782.3,0.38,391.9,1.83,15.67,,
1791,221.9,0.03,166.03,0.07,110.18,0.31,55.45,1.54,2.22,,
1792,2109,0.06,1547,0.2,1056,0.71,531,2.48,25.81,,
1793,2252,0.05,1688,0.14,1122,0.8,560.5,2.48,80.57,,
1794,2266,0.06,1662,0.09,1123.2,0.95,555.3,2.48,139.7,,
1795,2269,0.04,1702,0.08,1115.9,0.62,571.2,2.48,104.2,,
1796,2123,0.04,1555,0.06,1064,0.65,525,2.48,125,,
1797,2122,0.03,1636,0.06,996,0.62,526,2.48,50.43,,
1798,1427,0.04,1071,0.06,714,0.16,357,0.97,14.23,,
1800,,,,,,,,,,,
1801,1851,0.04,1380,0.1,925,0.29,462.7,1.09,18.54,,
1802,1896.3,0.06,1428,0.15,949,0.33,473,1.3,18.7,,
1803,2209,0.06,1654,0.22,1108,0.56,552,1.81,22.1,,
1805,1256.2,0.05,911.7,0.1,626.5,0.22,322.6,1,13.45,,
1807,1969,0.05,1487,0.15,985.9,0.38,491.5,1.33,19.64,,
1808,2353,0.07,1760.1,0.18,1179,0.31,583.7,0.95,23.75,,
1809,2146,0.05,1621.8,0.15,1053.9,0.49,521.6,2.18,21.48,,
1810,1821.4,0.03,1332.5,0.08,918.1,0.6,459.7,2.48,50.49,,
1811,1466.3,0.04,1047.8,0.07,744.7,0.84,369.1,2.48,72.1,,
1812,1493.2,0.04,1117.5,0.09,740.8,0.42,373.6,2.48,36.85,,
1813,1198.3,0.03,892.6,0.07,600.3,0.47,300.1,2.48,43.17,,
1814,1697,0.05,1263,0.07,849.4,0.3,423.7,2.48,19.65,,
1815,1478,0.02,1108,0.08,743,0.1,368,1,15.1,,
1817,2027,0.05,1540,0.12,1016,0.34,509,1.37,20.7,,
1818,2064,0.07,1511,0.13,1002,0.28,513,1.11,21.32,,
1819,1992.5,0.06,1491.8,0.21,992,0.62,499.6,2.48,28.8,,
1821,2296,0.05,1813,0.16,1144,0.98,572,2.48,131.6,,
1822,2163,0.06,1614,0.16,1077,0.47,548.7,1.34,52.14,"pole went as deep as water would allow,too shallow",
1823,2365,0.04,1746.1,0.1,1197,1.12,592,2.48,222.5,,
